period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,20.0847,NaN,NaN,1058.436318,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0861,NaN,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.0875,NaN,NaN,1058.436318,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0889,NaN,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.0903,NaN,NaN,NaN,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0917,NaN,NaN,NaN,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0931,NaN,NaN,NaN,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0944,NaN,NaN,NaN,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0958,NaN,NaN,1058.436318,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0972,NaN,NaN,1058.436318,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0986,NaN,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1,NaN,NaN,1058.436318,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,20.1014,NaN,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1028,197,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1042,158,NaN,1058.436318,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1056,167,NaN,1058.436318,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,20.1069,181,NaN,1058.436318,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,20.1083,171,NaN,1058.500175,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,20.1097,169,19,1058.500175,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1111,184,16,1038.182114,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1125,184,20,1058.500175,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1139,168,23,1058.500175,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1153,169,23,1058.500175,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1167,184,28,1058.583136,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1181,160,33,1008.739114,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1194,93,33,1026.447221,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1208,62,35,1075.264466,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1222,109,36,1055.396749,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,20.1236,163,36,1077.659094,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.125,143,35,1041.694467,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1264,82,32,1047.552603,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1278,67,32,1074.367815,31.73276935,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1292,109,35,1059.490745,31.74942922,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1306,141,39,1069.406513,33.19773919,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1319,131,40,1037.354785,32.94527634,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1333,114,36,1052.903057,31.78480376,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1347,117,34,1059.067446,32.63617839,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1361,121,34,1074.282189,31.87574821,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1375,116,33,1049.497904,31.84123318,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1389,112,32,1048.771821,32.20367349,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1403,115,32,1076.253558,32.80547905,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1417,115,32,1075.088327,32.7049019,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1431,110,33,1060.456473,32.37808301,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1444,110,33,1058.139799,31.49197721,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1458,111,29,1067.909346,31.82716169,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1472,102,24,1070.915146,31.47598536,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1486,93,24,1074.349611,31.2752616,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.15,96,24,1076.555325,31.27961925,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1514,93,23,1071.659788,31.33087368,MovingSlowly,0,0,0,0,0,0,0,0
